,0,1,2,3,4,5,6,7,8,9,10
76,273.15,28.0,0.0,266.15,,0.45,0.0,0.0,261.85,10.3,0.0
77,273.65,52.0,0.0,273.15,7.0,0.45,0.0,0.0,265.75,9.4,0.0
78,,,,266.15,-7.0,0.3,0.0,0.0,267.55,3.6,0.0
79,271.65,63.0,0.0,266.15,-7.0,0.3,0.0,0.0,265.15,6.0,0.0
80,279.15,33.0,,274.35,8.2,0.3,0.0,0.0,,,0.0
81,280.15,34.0,0.0,274.35,8.2,0.3,0.0,0.0,266.95,10.3,0.0
82,276.15,26.0,0.0,,,0.3,0.0,0.0,265.45,,0.0
83,274.15,30.0,0.0,271.65,-2.7,0.3,0.0,0.0,264.45,9.55,0.0
84,273.15,30.0,0.0,271.65,,0.3,0.0,0.0,,,0.0
85,272.15,34.0,0.0,267.75,-3.9,0.3,0.0,0.0,264.75,5.65,0.0
86,270.15,75.0,0.0,267.75,-3.9,0.3,0.0,0.0,263.65,6.75,0.0
87,271.65,35.0,0.0,269.15,1.4,0.3,0.0,0.0,264.05,6.35,0.0
88,273.15,77.0,3.4,271.65,2.5,0.3,0.0,0.0,268.65,4.0,0.0
89,272.65,43.0,0.0,271.65,0.0,0.3,0.0,0.0,264.75,8.65,0.0
90,269.85,93.0,0.7,269.55,-2.1,0.5,0.01,0.01,269.35,7.0,0.0
91,272.35,85.0,,,,0.73,0.01,0.01,269.85,,0.0
92,265.15,96.0,,,,1.45,0.1,0.1,263.95,,0.0
93,266.75,40.0,0.0,266.75,,1.4,0.0,0.0,263.05,8.9,0.0
94,269.75,36.0,0.0,266.75,,1.4,0.0,0.0,263.25,8.7,0.0
95,274.55,84.0,0.0,273.65,6.9,1.3,0.0,0.0,269.35,8.5,0.0
96,274.35,63.0,0.0,270.75,4.0,1.3,0.0,0.0,267.55,8.7,0.0
97,275.95,40.0,0.0,269.65,-4.0,1.3,0.0,0.0,267.05,8.6,1.0
98,269.75,40.0,0.0,,,1.25,0.0,0.0,,,0.0
99,277.05,99.0,21.3,270.85,,1.0,0.0,0.0,272.75,1.3,0.0
100,276.05,68.0,0.0,272.85,2.0,2.8,0.0,0.0,272.35,,0.0
101,281.15,50.0,,273.35,2.5,2.8,0.0,0.0,272.95,4.85,0.0
102,277.85,86.0,0.0,273.35,2.5,2.65,0.0,0.0,273.05,4.75,0.0
103,279.15,78.0,,276.35,5.5,2.65,0.0,0.0,273.05,5.45,0.0
104,279.15,39.0,0.0,276.35,3.0,2.65,0.0,0.0,273.05,5.45,0.0
105,,,,,,3.15,0.25,0.25,,,0.0
106,266.45,,,261.65,-14.7,3.15,0.0,0.25,264.05,3.3,0.0
107,273.05,99.0,2.3,261.65,-14.7,3.15,0.01,0.26,269.65,-2.3,0.0
108,272.95,,,271.65,10.0,2.9,0.01,0.27,273.05,-0.7,1.0
109,272.95,,,271.65,10.0,2.9,0.01,0.27,273.05,-0.7,1.0
